Traditional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month/QTR,CA,US,Alameda,Amador,Butte,Calaveras,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,LA,Madera,Marin,Mariposa/Tuolumne,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
Jan-91,25%,NA,21%,NA,NA,NA,24%,NA,NA,43%,NA,NA,NA,NA,NA,NA,NA,22%,NA,18%,NA,NA,42%,NA,NA,NA,NA,24%,NA,NA,40%,38%,NA,39%,25%,13%,NA,19%,12%,22%,24%,15%,NA,NA,NA,27%,NA,NA,NA,NA,NA,NA,25%,NA,NA
Feb-91,24%,NA,20%,NA,NA,NA,27%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,22%,NA,18%,NA,NA,36%,NA,NA,NA,NA,24%,NA,NA,39%,39%,NA,40%,27%,13%,NA,21%,18%,25%,25%,15%,NA,NA,NA,26%,NA,NA,NA,NA,NA,NA,25%,NA,NA
Mar-91,24%,NA,21%,NA,NA,NA,23%,NA,NA,48%,NA,NA,NA,NA,NA,NA,NA,21%,NA,16%,NA,NA,40%,NA,NA,NA,NA,25%,NA,NA,40%,37%,NA,40%,26%,14%,NA,23%,14%,19%,25%,16%,NA,NA,NA,27%,NA,NA,NA,NA,NA,NA,27%,NA,NA
Apr-91,23%,NA,18%,NA,NA,NA,21%,NA,NA,47%,NA,NA,NA,NA,NA,NA,NA,21%,NA,16%,NA,NA,37%,NA,NA,NA,NA,24%,NA,NA,40%,36%,NA,40%,27%,13%,NA,21%,14%,15%,23%,17%,NA,NA,NA,28%,NA,NA,NA,NA,NA,NA,25%,NA,NA
May-91,22%,NA,17%,NA,NA,NA,19%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,18%,NA,16%,NA,NA,42%,NA,NA,NA,NA,25%,NA,NA,40%,37%,NA,40%,25%,13%,NA,20%,13%,19%,22%,16%,NA,NA,NA,27%,NA,NA,NA,NA,NA,NA,27%,NA,NA
Jun-91,24%,NA,20%,NA,NA,NA,20%,NA,NA,46%,NA,NA,NA,NA,NA,NA,NA,19%,NA,15%,NA,NA,40%,NA,NA,NA,NA,25%,NA,NA,40%,38%,NA,41%,26%,12%,NA,17%,13%,20%,21%,15%,NA,NA,NA,25%,NA,NA,NA,NA,NA,NA,24%,NA,NA
Jul-91,24%,NA,19%,NA,NA,NA,19%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,20%,NA,16%,NA,NA,40%,NA,NA,NA,NA,24%,NA,NA,40%,37%,NA,38%,25%,12%,NA,20%,13%,19%,23%,16%,NA,NA,NA,25%,NA,NA,NA,NA,NA,NA,27%,NA,NA
Aug-91,25%,NA,20%,NA,NA,NA,24%,NA,NA,45%,NA,NA,NA,NA,NA,NA,NA,21%,NA,16%,NA,NA,36%,NA,NA,NA,NA,25%,NA,NA,39%,37%,NA,42%,24%,13%,NA,19%,12%,24%,23%,16%,NA,NA,NA,25%,NA,NA,NA,NA,NA,NA,26%,NA,NA
Sep-91,26%,NA,22%,NA,NA,NA,23%,NA,NA,46%,NA,NA,NA,NA,NA,NA,NA,21%,NA,17%,NA,NA,43%,NA,NA,NA,NA,27%,NA,NA,40%,40%,NA,42%,29%,14%,NA,22%,14%,29%,27%,16%,NA,NA,NA,25%,NA,NA,NA,NA,NA,NA,27%,NA,NA
Oct-91,27%,NA,24%,NA,NA,NA,24%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,23%,NA,18%,NA,NA,45%,NA,NA,NA,NA,29%,NA,NA,43%,41%,NA,41%,29%,15%,NA,26%,15%,23%,28%,20%,NA,NA,NA,28%,NA,NA,NA,NA,NA,NA,28%,NA,NA
Nov-91,29%,NA,25%,NA,NA,NA,26%,NA,NA,48%,NA,NA,NA,NA,NA,NA,NA,25%,NA,17%,NA,NA,43%,NA,NA,NA,NA,30%,NA,NA,43%,45%,NA,45%,31%,15%,NA,25%,15%,18%,30%,19%,NA,NA,NA,29%,NA,NA,NA,NA,NA,NA,32%,NA,NA
Dec-91,29%,NA,24%,NA,NA,NA,24%,NA,NA,51%,NA,NA,NA,NA,NA,NA,NA,26%,NA,18%,NA,NA,46%,NA,NA,NA,NA,31%,NA,NA,46%,43%,NA,45%,30%,16%,NA,25%,19%,25%,29%,22%,NA,NA,NA,28%,NA,NA,NA,NA,NA,NA,33%,NA,NA
Jan-92,31%,NA,29%,NA,NA,NA,33%,NA,NA,53%,NA,NA,NA,NA,NA,NA,NA,27%,NA,20%,NA,NA,43%,NA,NA,NA,NA,33%,NA,NA,46%,45%,NA,46%,33%,18%,NA,23%,22%,29%,33%,20%,NA,NA,NA,31%,NA,NA,NA,NA,NA,NA,35%,NA,NA
Feb-92,30%,NA,28%,NA,NA,NA,31%,NA,NA,48%,NA,NA,NA,NA,NA,NA,NA,26%,NA,27%,NA,NA,43%,NA,NA,NA,NA,34%,NA,NA,44%,44%,NA,45%,34%,17%,NA,23%,18%,26%,33%,21%,NA,NA,NA,30%,NA,NA,NA,NA,NA,NA,35%,NA,NA
Mar-92,29%,NA,26%,NA,NA,NA,27%,NA,NA,49%,NA,NA,NA,NA,NA,NA,NA,25%,NA,18%,NA,NA,43%,NA,NA,NA,NA,31%,NA,NA,44%,45%,NA,46%,31%,17%,NA,30%,18%,24%,31%,21%,NA,NA,NA,29%,NA,NA,NA,NA,NA,NA,35%,NA,NA
Apr-92,29%,NA,25%,NA,NA,NA,23%,NA,NA,49%,NA,NA,NA,NA,NA,NA,NA,26%,NA,23%,NA,NA,46%,NA,NA,NA,NA,32%,NA,NA,45%,44%,NA,44%,32%,16%,NA,31%,21%,25%,30%,18%,NA,NA,NA,29%,NA,NA,NA,NA,NA,NA,33%,NA,NA
May-92,29%,NA,27%,NA,NA,NA,25%,NA,NA,47%,NA,NA,NA,NA,NA,NA,NA,25%,NA,19%,NA,NA,46%,NA,NA,NA,NA,30%,NA,NA,46%,45%,NA,45%,31%,17%,NA,30%,18%,23%,28%,22%,NA,NA,NA,27%,NA,NA,NA,NA,NA,NA,36%,NA,NA
Jun-92,30%,NA,26%,NA,NA,NA,23%,NA,NA,47%,NA,NA,NA,NA,NA,NA,NA,27%,NA,20%,NA,NA,46%,NA,NA,NA,NA,33%,NA,NA,45%,45%,NA,47%,33%,16%,NA,28%,17%,26%,31%,24%,NA,NA,NA,27%,NA,NA,NA,NA,NA,NA,37%,NA,NA
Jul-92,32%,NA,29%,NA,NA,NA,22%,NA,NA,50%,NA,NA,NA,NA,NA,NA,NA,28%,NA,20%,NA,NA,46%,NA,NA,NA,NA,34%,NA,NA,47%,47%,NA,47%,33%,18%,NA,29%,18%,25%,33%,24%,NA,NA,NA,32%,NA,NA,NA,NA,NA,NA,35%,NA,NA
Aug-92,34%,NA,29%,NA,NA,NA,18%,NA,NA,52%,NA,NA,NA,NA,NA,NA,NA,29%,NA,19%,NA,NA,46%,NA,NA,NA,NA,34%,NA,NA,48%,47%,NA,48%,36%,18%,NA,33%,21%,26%,37%,28%,NA,NA,NA,33%,NA,NA,NA,NA,NA,NA,37%,NA,NA
Sep-92,34%,NA,31%,NA,NA,NA,23%,NA,NA,48%,NA,NA,NA,NA,NA,NA,NA,31%,NA,26%,NA,NA,50%,NA,NA,NA,NA,37%,NA,NA,49%,49%,NA,50%,35%,19%,NA,32%,22%,27%,37%,25%,NA,NA,NA,33%,NA,NA,NA,NA,NA,NA,41%,NA,NA
Oct-92,35%,NA,32%,NA,NA,NA,25%,NA,NA,50%,NA,NA,NA,NA,NA,NA,NA,32%,NA,25%,NA,NA,51%,NA,NA,NA,NA,38%,NA,NA,50%,50%,NA,49%,37%,21%,NA,29%,23%,27%,38%,25%,NA,NA,NA,33%,NA,NA,NA,NA,NA,NA,43%,NA,NA
Nov-92,36%,NA,31%,NA,NA,NA,23%,NA,NA,53%,NA,NA,NA,NA,NA,NA,NA,31%,NA,25%,NA,NA,55%,NA,NA,NA,NA,38%,NA,NA,50%,51%,NA,49%,37%,22%,NA,31%,21%,31%,39%,28%,NA,NA,NA,34%,NA,NA,NA,NA,NA,NA,40%,NA,NA
Dec-92,35%,NA,30%,NA,NA,NA,26%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,30%,NA,24%,NA,NA,45%,NA,NA,NA,NA,38%,NA,NA,50%,50%,NA,49%,37%,22%,NA,31%,24%,31%,35%,30%,NA,NA,NA,32%,NA,NA,NA,NA,NA,NA,41%,NA,NA
Jan-93,36%,NA,34%,NA,NA,NA,30%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,32%,NA,28%,NA,NA,46%,NA,NA,NA,NA,39%,NA,NA,53%,50%,NA,49%,39%,21%,NA,32%,23%,31%,38%,26%,NA,NA,NA,35%,NA,NA,NA,NA,NA,NA,46%,NA,NA
Feb-93,38%,NA,37%,NA,NA,NA,29%,NA,NA,53%,NA,NA,NA,NA,NA,NA,NA,34%,NA,27%,NA,NA,55%,NA,NA,NA,NA,41%,NA,NA,51%,53%,NA,51%,39%,24%,NA,32%,25%,28%,40%,27%,NA,NA,NA,37%,NA,NA,NA,NA,NA,NA,47%,NA,NA
Mar-93,38%,NA,34%,NA,NA,NA,28%,NA,NA,55%,NA,NA,NA,NA,NA,NA,NA,36%,NA,27%,NA,NA,58%,NA,NA,NA,NA,42%,NA,NA,51%,52%,NA,50%,41%,22%,NA,31%,25%,36%,40%,30%,NA,NA,NA,38%,NA,NA,NA,NA,NA,NA,44%,NA,NA
Apr-93,38%,NA,34%,NA,NA,NA,28%,NA,NA,55%,NA,NA,NA,NA,NA,NA,NA,36%,NA,30%,NA,NA,50%,NA,NA,NA,NA,43%,NA,NA,53%,52%,NA,53%,40%,22%,NA,35%,26%,30%,41%,30%,NA,NA,NA,37%,NA,NA,NA,NA,NA,NA,46%,NA,NA
May-93,39%,NA,34%,NA,NA,NA,25%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,36%,NA,27%,NA,NA,53%,NA,NA,NA,NA,43%,NA,NA,52%,53%,NA,51%,40%,23%,NA,36%,27%,42%,41%,31%,NA,NA,NA,36%,NA,NA,NA,NA,NA,NA,46%,NA,NA
Jun-93,39%,NA,32%,NA,NA,NA,25%,NA,NA,56%,NA,NA,NA,NA,NA,NA,NA,37%,NA,24%,NA,NA,55%,NA,NA,NA,NA,43%,NA,NA,52%,55%,NA,52%,40%,22%,NA,33%,27%,34%,40%,30%,NA,NA,NA,36%,NA,NA,NA,NA,NA,NA,43%,NA,NA
Jul-93,39%,NA,36%,NA,NA,NA,29%,NA,NA,53%,NA,NA,NA,NA,NA,NA,NA,37%,NA,28%,NA,NA,57%,NA,NA,NA,NA,43%,NA,NA,52%,53%,NA,51%,42%,24%,NA,31%,28%,33%,39%,30%,NA,NA,NA,37%,NA,NA,NA,NA,NA,NA,48%,NA,NA
Aug-93,40%,NA,34%,NA,NA,NA,28%,NA,NA,55%,NA,NA,NA,NA,NA,NA,NA,37%,NA,27%,NA,NA,55%,NA,NA,NA,NA,44%,NA,NA,54%,55%,NA,52%,41%,25%,NA,32%,28%,38%,41%,31%,NA,NA,NA,38%,NA,NA,NA,NA,NA,NA,44%,NA,NA
Sep-93,41%,NA,38%,NA,NA,NA,28%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,37%,NA,28%,NA,NA,55%,NA,NA,NA,NA,45%,NA,NA,57%,56%,NA,54%,44%,25%,NA,36%,27%,31%,42%,30%,NA,NA,NA,40%,NA,NA,NA,NA,NA,NA,49%,NA,NA
Oct-93,42%,NA,40%,NA,NA,NA,31%,NA,NA,56%,NA,NA,NA,NA,NA,NA,NA,39%,NA,30%,NA,NA,54%,NA,NA,NA,NA,47%,NA,NA,56%,56%,NA,55%,42%,25%,NA,40%,28%,37%,44%,34%,NA,NA,NA,41%,NA,NA,NA,NA,NA,NA,50%,NA,NA
Nov-93,42%,NA,38%,NA,NA,NA,31%,NA,NA,56%,NA,NA,NA,NA,NA,NA,NA,39%,NA,28%,NA,NA,56%,NA,NA,NA,NA,46%,NA,NA,57%,57%,NA,54%,44%,25%,NA,35%,30%,39%,43%,32%,NA,NA,NA,41%,NA,NA,NA,NA,NA,NA,51%,NA,NA
Dec-93,42%,NA,40%,NA,NA,NA,30%,NA,NA,55%,NA,NA,NA,NA,NA,NA,NA,39%,NA,31%,NA,NA,53%,NA,NA,NA,NA,48%,NA,NA,57%,57%,NA,55%,44%,25%,NA,41%,30%,37%,43%,35%,NA,NA,NA,41%,NA,NA,NA,NA,NA,NA,51%,NA,NA
Jan-94,42%,NA,39%,NA,NA,NA,33%,NA,NA,47%,NA,NA,NA,NA,NA,NA,NA,39%,NA,32%,NA,NA,58%,NA,NA,NA,NA,49%,NA,NA,57%,57%,NA,54%,44%,26%,NA,38%,26%,38%,43%,35%,NA,NA,NA,44%,NA,NA,NA,NA,NA,NA,50%,NA,NA
Feb-94,43%,NA,40%,NA,NA,NA,29%,NA,NA,53%,NA,NA,NA,NA,NA,NA,NA,41%,NA,28%,NA,NA,62%,NA,NA,NA,NA,49%,NA,NA,56%,58%,NA,56%,43%,27%,NA,38%,31%,33%,43%,36%,NA,NA,NA,41%,NA,NA,NA,NA,NA,NA,50%,NA,NA
Mar-94,41%,NA,38%,NA,NA,NA,30%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,38%,NA,29%,NA,NA,57%,NA,NA,NA,NA,46%,NA,NA,57%,55%,NA,55%,42%,27%,NA,39%,24%,30%,39%,31%,NA,NA,NA,39%,NA,NA,NA,NA,NA,NA,50%,NA,NA
Apr-94,40%,NA,35%,NA,NA,NA,29%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,37%,NA,23%,NA,NA,56%,NA,NA,NA,NA,43%,NA,NA,56%,55%,NA,54%,41%,23%,NA,39%,26%,32%,38%,32%,NA,NA,NA,40%,NA,NA,NA,NA,NA,NA,48%,NA,NA
May-94,39%,NA,37%,NA,NA,NA,28%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,36%,NA,25%,NA,NA,56%,NA,NA,NA,NA,43%,NA,NA,56%,54%,NA,53%,39%,22%,NA,35%,26%,32%,39%,31%,NA,NA,NA,39%,NA,NA,NA,NA,NA,NA,45%,NA,NA
Jun-94,37%,NA,33%,NA,NA,NA,25%,NA,NA,50%,NA,NA,NA,NA,NA,NA,NA,36%,NA,25%,NA,NA,45%,NA,NA,NA,NA,41%,NA,NA,55%,56%,NA,53%,39%,21%,NA,37%,24%,31%,35%,32%,NA,NA,NA,36%,NA,NA,NA,NA,NA,NA,41%,NA,NA
Jul-94,37%,NA,35%,NA,NA,NA,26%,NA,NA,55%,NA,NA,NA,NA,NA,NA,NA,35%,NA,22%,NA,NA,52%,NA,NA,NA,NA,39%,NA,NA,55%,56%,NA,53%,38%,23%,NA,36%,23%,28%,39%,31%,NA,NA,NA,35%,NA,NA,NA,NA,NA,NA,43%,NA,NA
Aug-94,37%,NA,36%,NA,NA,NA,26%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,34%,NA,23%,NA,NA,52%,NA,NA,NA,NA,39%,NA,NA,55%,55%,NA,53%,39%,23%,NA,35%,22%,29%,36%,35%,NA,NA,NA,36%,NA,NA,NA,NA,NA,NA,39%,NA,NA
Sep-94,37%,NA,33%,NA,NA,NA,25%,NA,NA,55%,NA,NA,NA,NA,NA,NA,NA,35%,NA,25%,NA,NA,53%,NA,NA,NA,NA,39%,NA,NA,56%,57%,NA,53%,39%,23%,NA,34%,22%,35%,37%,32%,NA,NA,NA,34%,NA,NA,NA,NA,NA,NA,40%,NA,NA
Oct-94,38%,NA,34%,NA,NA,NA,25%,NA,NA,51%,NA,NA,NA,NA,NA,NA,NA,36%,NA,26%,NA,NA,51%,NA,NA,NA,NA,38%,NA,NA,56%,56%,NA,54%,40%,25%,NA,38%,24%,33%,39%,33%,NA,NA,NA,34%,NA,NA,NA,NA,NA,NA,38%,NA,NA
Nov-94,38%,NA,35%,NA,NA,NA,27%,NA,NA,53%,NA,NA,NA,NA,NA,NA,NA,36%,NA,23%,NA,NA,49%,NA,NA,NA,NA,39%,NA,NA,57%,56%,NA,54%,40%,24%,NA,35%,21%,29%,40%,34%,NA,NA,NA,34%,NA,NA,NA,NA,NA,NA,40%,NA,NA
Dec-94,38%,NA,33%,NA,NA,NA,26%,NA,NA,53%,NA,NA,NA,NA,NA,NA,NA,36%,NA,23%,NA,NA,49%,NA,NA,NA,NA,35%,NA,NA,55%,55%,NA,54%,38%,21%,NA,35%,22%,43%,38%,30%,NA,NA,NA,34%,NA,NA,NA,NA,NA,NA,40%,NA,NA
Jan-95,38%,NA,37%,NA,NA,NA,29%,NA,NA,55%,NA,NA,NA,NA,NA,NA,NA,36%,NA,24%,NA,NA,53%,NA,NA,NA,NA,40%,NA,NA,51%,56%,NA,48%,39%,21%,NA,39%,26%,27%,40%,34%,NA,NA,NA,31%,NA,NA,NA,NA,NA,NA,41%,NA,NA
Feb-95,38%,NA,35%,NA,NA,NA,28%,NA,NA,56%,NA,NA,NA,NA,NA,NA,NA,36%,NA,24%,NA,NA,46%,NA,NA,NA,NA,39%,NA,NA,52%,55%,NA,49%,36%,22%,NA,38%,25%,29%,35%,33%,NA,NA,NA,34%,NA,NA,NA,NA,NA,NA,42%,NA,NA
Mar-95,37%,NA,35%,NA,NA,NA,26%,NA,NA,52%,NA,NA,NA,NA,NA,NA,NA,36%,NA,25%,NA,NA,53%,NA,NA,NA,NA,36%,NA,NA,52%,55%,NA,50%,36%,21%,NA,36%,20%,32%,37%,30%,NA,NA,NA,32%,NA,NA,NA,NA,NA,NA,41%,NA,NA
Apr-95,37%,NA,34%,NA,NA,NA,25%,NA,NA,51%,NA,NA,NA,NA,NA,NA,NA,35%,NA,23%,NA,NA,50%,NA,NA,NA,NA,39%,NA,NA,50%,57%,NA,48%,39%,20%,NA,37%,23%,31%,37%,30%,NA,NA,NA,33%,NA,NA,NA,NA,NA,NA,40%,NA,NA
May-95,38%,NA,33%,NA,NA,NA,25%,NA,NA,53%,NA,NA,NA,NA,NA,NA,NA,36%,NA,24%,NA,NA,52%,NA,NA,NA,NA,37%,NA,NA,54%,58%,NA,49%,39%,22%,NA,32%,22%,31%,37%,31%,NA,NA,NA,34%,NA,NA,NA,NA,NA,NA,43%,NA,NA
Jun-95,38%,NA,33%,NA,NA,NA,23%,NA,NA,51%,NA,NA,NA,NA,NA,NA,NA,37%,NA,24%,NA,NA,50%,NA,NA,NA,NA,38%,NA,NA,53%,56%,NA,50%,37%,20%,NA,36%,24%,40%,33%,32%,NA,NA,NA,35%,NA,NA,NA,NA,NA,NA,41%,NA,NA
Jul-95,38%,NA,34%,NA,NA,NA,23%,NA,NA,51%,NA,NA,NA,NA,NA,NA,NA,37%,NA,23%,NA,NA,49%,NA,NA,NA,NA,38%,NA,NA,53%,57%,NA,49%,37%,21%,NA,39%,20%,34%,36%,31%,NA,NA,NA,36%,NA,NA,NA,NA,NA,NA,42%,NA,NA
Aug-95,37%,NA,34%,NA,NA,NA,22%,NA,NA,50%,NA,NA,NA,NA,NA,NA,NA,36%,NA,21%,NA,NA,46%,NA,NA,NA,NA,39%,NA,NA,52%,56%,NA,51%,37%,21%,NA,34%,22%,30%,34%,28%,NA,NA,NA,36%,NA,NA,NA,NA,NA,NA,42%,NA,NA
Sep-95,37%,NA,34%,NA,NA,NA,22%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,34%,NA,21%,NA,NA,49%,NA,NA,NA,NA,40%,NA,NA,55%,56%,NA,52%,38%,21%,NA,34%,21%,26%,35%,32%,NA,NA,NA,36%,NA,NA,NA,NA,NA,NA,45%,NA,NA
Oct-95,39%,NA,36%,NA,NA,NA,24%,NA,NA,53%,NA,NA,NA,NA,NA,NA,NA,37%,NA,26%,NA,NA,49%,NA,NA,NA,NA,40%,NA,NA,52%,56%,NA,51%,39%,25%,NA,39%,23%,30%,37%,34%,NA,NA,NA,37%,NA,NA,NA,NA,NA,NA,44%,NA,NA
Nov-95,39%,NA,36%,NA,NA,NA,26%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,38%,NA,27%,NA,NA,56%,NA,NA,NA,NA,41%,NA,NA,52%,57%,NA,52%,37%,21%,NA,36%,24%,40%,35%,34%,NA,NA,NA,41%,NA,NA,NA,NA,NA,NA,41%,NA,NA
Dec-95,40%,NA,38%,NA,NA,NA,29%,NA,NA,55%,NA,NA,NA,NA,NA,NA,NA,38%,NA,24%,NA,NA,53%,NA,NA,NA,NA,42%,NA,NA,53%,60%,NA,55%,40%,24%,NA,39%,27%,33%,38%,35%,NA,NA,NA,40%,NA,NA,NA,NA,NA,NA,47%,NA,NA
Jan-96,41%,NA,39%,NA,NA,NA,31%,NA,NA,56%,NA,NA,NA,NA,NA,NA,NA,40%,NA,27%,NA,NA,54%,NA,NA,NA,NA,43%,NA,NA,52%,61%,NA,55%,38%,22%,NA,39%,24%,28%,38%,32%,NA,NA,NA,41%,NA,NA,NA,NA,NA,NA,44%,NA,NA
Feb-96,42%,NA,39%,NA,NA,NA,29%,NA,NA,56%,NA,NA,NA,NA,NA,NA,NA,41%,NA,26%,NA,NA,49%,NA,NA,NA,NA,42%,NA,NA,56%,62%,NA,54%,39%,24%,NA,44%,28%,35%,40%,33%,NA,NA,NA,38%,NA,NA,NA,NA,NA,NA,47%,NA,NA
Mar-96,40%,NA,37%,NA,NA,NA,27%,NA,NA,55%,NA,NA,NA,NA,NA,NA,NA,39%,NA,23%,NA,NA,57%,NA,NA,NA,NA,43%,NA,NA,55%,59%,NA,55%,39%,23%,NA,41%,24%,37%,35%,32%,NA,NA,NA,39%,NA,NA,NA,NA,NA,NA,46%,NA,NA
Apr-96,39%,NA,36%,NA,NA,NA,24%,NA,NA,54%,NA,NA,NA,NA,NA,NA,NA,39%,NA,21%,NA,NA,54%,NA,NA,NA,NA,39%,NA,NA,53%,58%,NA,53%,39%,19%,NA,38%,22%,37%,35%,36%,NA,NA,NA,41%,NA,NA,NA,NA,NA,NA,42%,NA,NA
