Traditional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.3,46%,40%,31%,NA,NA,NA,21%,NA,NA,65%,NA,NA,NA,NA,64%,NA,NA,38%,68%,23%,NA,NA,75%,NA,56%,41%,NA,28%,60%,NA,61%,68%,NA,74%,38%,22%,NA,36%,21%,26%,30%,28%,NA,NA,71%,40%,NA,NA,NA,NA,68%,NA,40%,NA,NA
2010.4,50%,41%,33%,NA,NA,NA,26%,NA,NA,67%,NA,NA,NA,NA,66%,NA,NA,43%,70%,25%,NA,NA,76%,NA,58%,47%,NA,33%,62%,NA,64%,70%,NA,76%,40%,22%,NA,37%,25%,32%,35%,29%,NA,NA,71%,44%,NA,NA,NA,NA,71%,NA,41%,NA,NA
2011.1,53%,69%,35%,NA,NA,NA,30%,NA,NA,69%,NA,NA,NA,NA,71%,NA,NA,46%,68%,27%,NA,NA,76%,NA,57%,48%,NA,33%,64%,NA,63%,71%,NA,76%,40%,25%,NA,40%,30%,37%,38%,34%,NA,NA,74%,47%,NA,NA,NA,NA,72%,NA,44%,NA,NA
2011.2,51%,67%,35%,NA,NA,NA,26%,NA,NA,70%,NA,NA,NA,NA,72%,NA,NA,46%,72%,24%,NA,NA,76%,NA,56%,47%,NA,31%,64%,NA,64%,72%,NA,77%,41%,24%,NA,37%,22%,35%,32%,32%,NA,NA,75%,46%,NA,NA,NA,NA,73%,NA,41%,NA,NA
2011.3,52%,66%,36%,NA,NA,NA,27%,NA,NA,69%,NA,NA,NA,NA,76%,NA,NA,42%,74%,25%,NA,NA,74%,NA,56%,48%,NA,33%,65%,NA,65%,72%,NA,77%,42%,26%,NA,40%,29%,38%,34%,32%,NA,NA,75%,46%,NA,NA,NA,NA,73%,NA,45%,NA,NA
2011.4,55%,70%,39%,NA,NA,NA,37%,NA,NA,71%,NA,NA,NA,NA,75%,NA,NA,48%,75%,29%,NA,NA,77%,NA,56%,50%,NA,38%,67%,NA,66%,74%,NA,78%,46%,26%,NA,41%,29%,41%,40%,37%,NA,NA,76%,51%,NA,NA,NA,NA,73%,NA,49%,NA,NA
2012.1,56%,71%,45%,NA,NA,NA,36%,NA,NA,72%,NA,NA,NA,NA,75%,NA,NA,51%,77%,32%,NA,NA,77%,NA,54%,50%,NA,39%,67%,NA,66%,74%,NA,78%,46%,29%,NA,41%,33%,42%,42%,35%,NA,NA,77%,51%,NA,NA,NA,NA,75%,NA,50%,NA,NA
2012.2,51%,67%,38%,NA,NA,NA,26%,NA,NA,71%,NA,NA,NA,NA,74%,NA,NA,49%,74%,27%,NA,NA,77%,NA,55%,50%,NA,35%,65%,NA,65%,74%,NA,78%,44%,24%,NA,41%,23%,31%,32%,34%,NA,NA,77%,49%,NA,NA,NA,NA,73%,NA,48%,NA,NA
2012.3,49%,67%,34%,NA,NA,NA,28%,NA,NA,69%,NA,NA,NA,NA,74%,NA,NA,42%,76%,27%,NA,NA,74%,NA,52%,45%,NA,34%,64%,NA,63%,73%,NA,77%,43%,25%,NA,37%,24%,30%,32%,30%,NA,NA,77%,46%,NA,NA,NA,NA,73%,NA,47%,NA,NA
2012.4,48%,69%,36%,NA,NA,NA,31%,NA,NA,70%,NA,NA,NA,NA,76%,NA,NA,44%,74%,28%,NA,NA,74%,NA,50%,47%,NA,34%,63%,NA,62%,71%,NA,76%,43%,22%,NA,40%,24%,27%,32%,34%,NA,NA,73%,46%,NA,NA,NA,NA,71%,NA,48%,NA,NA
2013.1,44%,65%,32%,NA,NA,NA,28%,NA,NA,64%,NA,NA,NA,NA,70%,NA,NA,42%,77%,24%,NA,NA,68%,NA,44%,39%,NA,28%,57%,NA,54%,62%,NA,72%,38%,23%,NA,34%,23%,24%,30%,29%,NA,NA,67%,36%,NA,NA,NA,NA,70%,NA,42%,NA,NA
2013.2,36%,60%,25%,NA,NA,NA,20%,NA,NA,61%,NA,NA,NA,NA,70%,NA,NA,37%,71%,20%,NA,NA,65%,NA,35%,34%,NA,23%,51%,NA,49%,56%,NA,69%,32%,17%,NA,30%,17%,18%,24%,20%,NA,NA,63%,29%,NA,NA,NA,NA,66%,NA,36%,NA,NA
2013.3,32%,57%,21%,NA,NA,NA,22%,NA,NA,56%,NA,NA,NA,NA,62%,NA,NA,27%,63%,18%,NA,NA,60%,NA,30%,28%,NA,20%,46%,NA,45%,50%,NA,64%,27%,16%,NA,23%,15%,18%,22%,18%,NA,NA,56%,31%,NA,NA,NA,NA,61%,NA,30%,NA,NA
2013.4,32%,58%,23%,NA,NA,NA,24%,NA,NA,55%,NA,NA,NA,NA,63%,NA,NA,30%,67%,19%,NA,NA,60%,NA,29%,29%,NA,20%,47%,NA,43%,51%,NA,62%,28%,16%,NA,24%,16%,18%,23%,17%,NA,NA,56%,30%,NA,NA,NA,NA,60%,NA,31%,NA,NA
2014.1,33%,61%,22%,NA,NA,NA,24%,NA,NA,54%,NA,NA,NA,NA,64%,NA,NA,31%,61%,15%,NA,NA,58%,NA,23%,28%,NA,21%,45%,NA,42%,50%,NA,61%,27%,15%,42%,24%,14%,18%,22%,20%,NA,NA,53%,29%,46%,NA,NA,NA,59%,NA,29%,NA,NA
2014.2,30%,57%,18%,NA,NA,NA,19%,NA,NA,53%,NA,NA,NA,NA,64%,NA,NA,30%,50%,14%,NA,NA,57%,NA,26%,25%,NA,20%,44%,NA,41%,48%,NA,58%,26%,10%,40%,23%,14%,18%,19%,18%,NA,NA,50%,29%,45%,NA,NA,NA,56%,NA,28%,NA,NA
2014.3,29%,57%,21%,NA,NA,NA,20%,NA,NA,53%,NA,NA,NA,NA,64%,NA,NA,25%,51%,15%,NA,NA,55%,NA,27%,21%,NA,20%,44%,NA,41%,48%,NA,57%,25%,12%,40%,24%,15%,14%,21%,17%,NA,NA,49%,29%,44%,NA,NA,NA,56%,NA,27%,NA,NA
2014.4,31%,59%,20%,NA,NA,NA,23%,NA,NA,53%,NA,NA,NA,NA,64%,NA,NA,28%,50%,15%,NA,NA,53%,NA,27%,24%,NA,21%,45%,NA,41%,49%,NA,57%,27%,11%,41%,26%,15%,21%,22%,17%,NA,NA,50%,29%,44%,NA,NA,NA,56%,NA,29%,NA,NA
2015.1,34%,61%,25%,54%,46%,NA,41%,NA,45%,50%,NA,43%,NA,47%,62%,49%,NA,31%,50%,19%,59%,40%,59%,NA,28%,29%,NA,22%,46%,NA,42%,49%,34%,58%,27%,12%,48%,29%,14%,16%,21%,21%,53%,54%,48%,30%,48%,54%,62%,NA,56%,NA,28%,42%,55%
2015.2,29%,57%,20%,55%,43%,NA,33%,NA,41%,49%,NA,43%,NA,54%,62%,44%,NA,29%,49%,17%,56%,32%,54%,NA,27%,23%,NA,20%,44%,NA,40%,47%,33%,55%,25%,10%,45%,27%,13%,14%,18%,20%,51%,58%,46%,26%,47%,56%,57%,NA,53%,NA,25%,37%,53%
2015.3,29%,58%,20%,50%,43%,NA,34%,NA,43%,49%,NA,42%,NA,53%,60%,41%,NA,24%,49%,19%,55%,30%,56%,NA,27%,23%,NA,20%,44%,NA,40%,47%,34%,54%,24%,11%,45%,27%,13%,17%,19%,19%,51%,53%,45%,26%,46%,54%,57%,NA,53%,NA,25%,37%,52%
2015.4,30%,58%,22%,50%,43%,NA,38%,NA,44%,49%,NA,42%,NA,55%,61%,40%,NA,26%,48%,17%,57%,29%,55%,NA,25%,21%,NA,21%,44%,NA,39%,46%,30%,53%,25%,11%,46%,26%,14%,20%,20%,21%,51%,53%,46%,27%,45%,51%,57%,NA,54%,NA,26%,38%,53%
2016.1,34%,60%,25%,49%,43%,NA,40%,NA,39%,52%,NA,42%,NA,55%,58%,46%,NA,31%,50%,20%,53%,30%,55%,NA,26%,23%,NA,23%,48%,NA,42%,48%,35%,56%,29%,13%,47%,27%,16%,20%,22%,18%,49%,55%,47%,28%,50%,57%,60%,NA,52%,NA,30%,37%,48%
2016.2,30%,56%,22%,49%,42%,NA,34%,NA,37%,47%,NA,41%,NA,54%,52%,43%,NA,29%,50%,17%,51%,33%,50%,NA,24%,24%,NA,21%,46%,NA,40%,45%,35%,55%,27%,13%,44%,26%,14%,18%,19%,16%,47%,53%,44%,25%,47%,54%,59%,NA,49%,NA,32%,35%,46%
2016.3,30%,56%,23%,52%,41%,NA,36%,NA,39%,48%,NA,38%,NA,54%,56%,46%,NA,25%,46%,18%,49%,32%,49%,NA,23%,24%,NA,21%,45%,NA,40%,43%,32%,54%,25%,13%,43%,23%,14%,19%,21%,17%,46%,49%,43%,26%,47%,50%,58%,NA,48%,NA,29%,35%,44%
2016.4,30%,57%,23%,49%,40%,NA,38%,NA,38%,49%,NA,39%,NA,54%,55%,44%,NA,27%,48%,19%,51%,31%,47%,NA,26%,25%,NA,21%,46%,NA,40%,45%,34%,53%,26%,13%,43%,26%,14%,21%,21%,16%,45%,52%,44%,25%,47%,51%,59%,NA,48%,NA,30%,36%,44%
2017.1,32%,57%,21%,47%,41%,NA,37%,NA,43%,48%,NA,36%,NA,55%,53%,43%,NA,29%,47%,18%,46%,26%,50%,NA,23%,24%,NA,21%,45%,NA,39%,46%,32%,52%,28%,13%,45%,26%,15%,14%,19%,17%,49%,48%,45%,25%,48%,53%,55%,NA,52%,46%,28%,37%,44%
2017.2,29%,55%,19%,42%,39%,49%,31%,NA,40%,47%,NA,36%,NA,54%,52%,38%,64%,28%,44%,17%,50%,27%,48%,25%,21%,25%,39%,21%,43%,47%,39%,45%,33%,51%,26%,12%,43%,26%,14%,16%,17%,17%,47%,47%,44%,25%,47%,53%,57%,NA,52%,46%,27%,35%,43%
2017.3,28%,55%,20%,44%,40%,44%,33%,NA,41%,45%,NA,33%,NA,53%,52%,38%,64%,22%,44%,18%,51%,28%,47%,20%,22%,26%,39%,21%,44%,47%,38%,43%,31%,51%,26%,13%,41%,23%,15%,20%,17%,17%,48%,49%,43%,25%,46%,51%,56%,NA,51%,45%,27%,34%,43%
2017.4,29%,56%,20%,44%,39%,50%,34%,NA,42%,46%,NA,34%,NA,54%,52%,36%,65%,25%,49%,18%,48%,28%,48%,19%,21%,25%,39%,21%,44%,45%,38%,43%,31%,50%,26%,12%,41%,24%,14%,18%,15%,17%,47%,51%,44%,23%,45%,52%,56%,NA,52%,48%,26%,34%,42%
2018.1,31%,57%,22%,45%,41%,46%,36%,NA,42%,48%,NA,36%,NA,56%,52%,40%,68%,28%,49%,18%,44%,25%,43%,8%,23%,28%,37%,21%,44%,47%,39%,44%,32%,52%,26%,15%,40%,25%,15%,22%,17%,15%,49%,48%,42%,21%,48%,49%,51%,NA,50%,49%,31%,41%,49%
2018.2,26%,53%,16%,44%,38%,43%,29%,NA,38%,46%,NA,33%,NA,53%,50%,37%,64%,26%,48%,18%,39%,22%,42%,14%,19%,25%,32%,20%,41%,42%,37%,41%,30%,49%,23%,14%,38%,22%,14%,20%,16%,12%,46%,48%,38%,20%,45%,45%,51%,NA,48%,43%,28%,33%,45%
2018.3,27%,53%,18%,44%,39%,43%,32%,NA,41%,46%,NA,33%,NA,53%,51%,39%,67%,22%,48%,19%,40%,23%,40%,11%,20%,24%,32%,20%,42%,44%,37%,42%,27%,48%,23%,15%,38%,21%,14%,26%,17%,12%,44%,47%,38%,22%,45%,45%,49%,NA,47%,41%,28%,35%,48%
2018.4,28%,54%,20%,45%,34%,45%,33%,NA,42%,46%,NA,33%,NA,53%,50%,40%,66%,24%,47%,19%,38%,23%,40%,12%,21%,25%,35%,20%,42%,42%,37%,42%,28%,48%,24%,15%,38%,22%,15%,26%,18%,12%,45%,50%,39%,23%,45%,44%,46%,NA,47%,48%,29%,37%,44%
2019.1,32%,57%,25%,45%,34%,47%,37%,NA,41%,48%,NA,36%,NA,50%,58%,44%,63%,28%,52%,21%,41%,28%,46%,10%,25%,29%,40%,24%,46%,48%,39%,44%,31%,50%,27%,17%,43%,26%,18%,25%,20%,17%,44%,53%,46%,27%,47%,46%,43%,NA,51%,45%,29%,39%,46%
2019.2,30%,55%,23%,46%,35%,46%,35%,NA,40%,48%,NA,37%,NA,50%,55%,44%,63%,29%,51%,21%,45%,29%,47%,15%,24%,28%,40%,24%,45%,37%,39%,44%,35%,50%,27%,17%,43%,25%,18%,20%,20%,17%,47%,49%,46%,28%,48%,46%,47%,NA,50%,48%,30%,40%,46%
2019.3,31%,56%,26%,49%,38%,49%,39%,NA,42%,49%,NA,37%,NA,51%,55%,47%,64%,25%,52%,22%,44%,30%,49%,17%,24%,29%,41%,25%,48%,46%,41%,45%,35%,51%,29%,18%,44%,27%,20%,22%,22%,22%,47%,51%,47%,28%,48%,47%,46%,NA,51%,49%,30%,39%,48%
2019.4,31%,57%,27%,49%,39%,47%,39%,NA,45%,49%,NA,38%,NA,50%,55%,45%,63%,27%,51%,22%,45%,29%,49%,26%,24%,30%,40%,26%,49%,52%,41%,45%,34%,51%,29%,18%,45%,29%,20%,23%,22%,21%,48%,50%,47%,30%,48%,46%,45%,NA,52%,51%,31%,40%,47%
2020.1,35%,59%,28%,53%,41%,48%,42%,50%,47%,52%,46%,43%,NA,52%,61%,52%,64%,31%,52%,23%,46%,36%,48%,17%,26%,34%,46%,24%,46%,48%,44%,47%,42%,53%,30%,20%,46%,31%,20%,27%,22%,23%,52%,52%,49%,32%,51%,50%,49%,NA,53%,54%,32%,43%,53%
2020.2,33%,57%,26%,53%,38%,49%,37%,43%,44%,51%,46%,43%,NA,50%,60%,47%,68%,31%,51%,22%,43%,38%,48%,17%,25%,33%,45%,25%,45%,52%,43%,46%,39%,54%,30%,19%,45%,31%,19%,31%,22%,23%,52%,54%,46%,31%,49%,50%,54%,NA,52%,54%,31%,43%,52%
2020.3,28%,55%,24%,50%,35%,47%,34%,39%,40%,48%,49%,41%,NA,49%,59%,47%,63%,23%,49%,22%,35%,31%,44%,16%,19%,27%,41%,23%,43%,39%,40%,44%,32%,51%,27%,20%,44%,28%,19%,17%,22%,19%,50%,49%,45%,29%,47%,47%,48%,NA,50%,52%,28%,38%,51%
2020.4,27%,55%,23%,50%,35%,44%,34%,36%,41%,48%,47%,38%,NA,48%,57%,46%,67%,24%,49%,22%,41%,28%,45%,11%,18%,29%,40%,22%,42%,45%,39%,43%,31%,48%,26%,20%,42%,25%,20%,16%,22%,19%,49%,48%,45%,28%,46%,46%,45%,NA,49%,50%,27%,38%,49%
2021.1,27%,54%,22%,44%,37%,41%,32%,36%,36%,46%,44%,39%,NA,47%,58%,46%,62%,24%,46%,22%,37%,27%,46%,3%,17%,24%,37%,20%,39%,47%,36%,41%,31%,45%,25%,20%,42%,25%,19%,14%,22%,18%,48%,49%,44%,27%,44%,45%,46%,NA,47%,49%,27%,38%,45%
2021.2,23%,49%,18%,40%,33%,37%,26%,35%,31%,43%,45%,32%,NA,45%,56%,43%,62%,22%,44%,21%,36%,23%,44%,9%,18%,23%,34%,17%,35%,39%,33%,38%,25%,43%,22%,19%,37%,21%,17%,13%,21%,15%,45%,44%,40%,25%,40%,40%,38%,NA,45%,44%,23%,32%,39%
2021.3,24%,50%,19%,42%,35%,39%,31%,35%,35%,42%,44%,32%,NA,45%,56%,42%,68%,19%,43%,22%,35%,23%,44%,13%,20%,23%,35%,18%,38%,38%,33%,39%,27%,43%,23%,21%,37%,24%,19%,17%,22%,17%,44%,41%,42%,28%,41%,42%,38%,NA,46%,45%,25%,33%,38%
2021.4,25%,51%,20%,43%,35%,40%,33%,39%,37%,40%,43%,30%,NA,43%,54%,43%,63%,21%,42%,23%,30%,22%,45%,13%,19%,24%,37%,17%,39%,39%,32%,39%,27%,42%,23%,21%,38%,22%,19%,20%,22%,17%,45%,44%,42%,28%,40%,41%,40%,NA,44%,45%,24%,33%,36%
2022.1,24%,47%,17%,40%,33%,35%,30%,32%,29%,37%,36%,30%,NA,38%,51%,38%,61%,20%,38%,21%,29%,24%,40%,7%,16%,20%,33%,13%,34%,36%,28%,34%,24%,39%,19%,20%,34%,18%,18%,12%,20%,13%,42%,42%,37%,24%,36%,39%,35%,NA,41%,38%,21%,28%,33%
2022.2,17%,38%,15%,32%,28%,29%,23%,31%,24%,31%,36%,24%,NA,32%,39%,33%,54%,16%,32%,17%,22%,15%,34%,6%,13%,16%,25%,12%,27%,32%,21%,27%,17%,30%,14%,17%,25%,12%,15%,10%,18%,13%,36%,30%,28%,17%,28%,31%,33%,NA,34%,33%,15%,23%,28%
2022.3,18%,39%,17%,34%,30%,32%,26%,27%,27%,32%,34%,23%,NA,34%,40%,33%,56%,14%,34%,18%,21%,18%,34%,8%,13%,14%,25%,13%,30%,28%,23%,29%,20%,31%,15%,20%,27%,13%,19%,12%,20%,14%,39%,31%,29%,19%,30%,32%,39%,NA,36%,35%,17%,25%,29%
2022.4,17%,38%,18%,34%,29%,30%,25%,25%,25%,30%,35%,24%,NA,30%,35%,28%,54%,13%,31%,18%,27%,14%,34%,7%,12%,16%,27%,13%,29%,31%,21%,28%,18%,29%,15%,20%,26%,11%,19%,11%,20%,13%,39%,31%,27%,17%,29%,33%,40%,NA,32%,36%,16%,24%,30%
2023.1,20%,40%,18%,33%,32%,32%,29%,32%,28%,32%,32%,26%,32%,33%,33%,31%,53%,17%,34%,20%,25%,26%,32%,7%,12%,20%,29%,12%,31%,42%,22%,29%,23%,30%,15%,21%,27%,12%,19%,15%,21%,14%,39%,41%,28%,18%,30%,36%,40%,21%,37%,36%,17%,28%,28%
2023.2,16%,36%,16%,28%,29%,27%,23%,30%,23%,29%,32%,25%,30%,31%,32%,28%,52%,15%,31%,16%,24%,17%,31%,5%,12%,19%,25%,12%,29%,38%,20%,26%,19%,30%,13%,20%,26%,11%,17%,10%,18%,13%,35%,39%,26%,16%,27%,33%,35%,31%,33%,32%,14%,23%,26%
2023.3,15%,34%,16%,26%,28%,27%,22%,28%,23%,27%,30%,23%,27%,28%,27%,30%,58%,11%,29%,18%,16%,15%,30%,5%,9%,15%,23%,11%,27%,31%,19%,23%,16%,25%,11%,21%,23%,10%,17%,10%,17%,13%,35%,34%,24%,15%,24%,31%,39%,30%,30%,31%,13%,23%,26%
2023.4,15%,35%,16%,31%,29%,31%,23%,26%,23%,28%,30%,24%,27%,28%,29%,28%,49%,11%,29%,16%,18%,18%,29%,5%,8%,16%,24%,11%,28%,33%,19%,23%,15%,24%,11%,20%,22%,8%,17%,10%,18%,13%,36%,32%,25%,15%,23%,31%,40%,28%,31%,32%,13%,22%,24%
2024.1,17%,37%,16%,30%,29%,33%,25%,34%,25%,30%,34%,25%,30%,31%,34%,33%,51%,14%,30%,18%,23%,21%,29%,4%,11%,18%,27%,11%,30%,37%,20%,26%,21%,27%,11%,20%,26%,10%,17%,11%,18%,13%,37%,32%,26%,16%,28%,32%,39%,26%,33%,36%,15%,24%,26%
2024.2,14%,33%,16%,32%,27%,29%,21%,34%,22%,28%,35%,22%,26%,30%,29%,31%,52%,13%,29%,16%,25%,17%,25%,5%,8%,14%,24%,11%,28%,29%,18%,24%,18%,25%,11%,19%,24%,11%,16%,9%,16%,13%,33%,31%,24%,16%,25%,27%,34%,28%,30%,31%,12%,22%,25%
2024.3,16%,35%,18%,38%,29%,31%,25%,28%,27%,30%,40%,23%,28%,30%,33%,35%,52%,11%,31%,20%,27%,18%,27%,7%,10%,15%,26%,12%,30%,23%,21%,26%,21%,27%,12%,21%,25%,11%,17%,13%,19%,14%,34%,36%,26%,18%,29%,28%,38%,34%,31%,40%,13%,24%,27%
2024.4,15%,36%,18%,34%,28%,34%,24%,33%,25%,30%,32%,23%,28%,29%,33%,32%,50%,11%,30%,18%,21%,20%,27%,6%,10%,18%,28%,12%,31%,36%,20%,25%,18%,27%,12%,21%,26%,10%,17%,10%,18%,14%,36%,34%,26%,18%,28%,28%,38%,29%,30%,36%,14%,25%,27%
2025.1,17%,37%,19%,35%,28%,36%,25%,38%,27%,29%,40%,26%,25%,30%,33%,35%,56%,13%,29%,20%,27%,19%,26%,5%,10%,14%,30%,12%,30%,38%,20%,26%,27%,28%,12%,20%,28%,11%,16%,9%,18%,15%,32%,35%,26%,18%,29%,28%,33%,35%,30%,40%,14%,23%,25%
2025.2,15%,34%,19%,35%,24%,33%,23%,29%,27%,30%,39%,23%,27%,30%,34%,34%,46%,13%,31%,19%,26%,20%,26%,8%,10%,15%,27%,12%,30%,34%,21%,27%,22%,29%,13%,19%,26%,12%,16%,10%,17%,14%,33%,37%,27%,17%,26%,27%,29%,30%,30%,38%,14%,22%,26%
2025.3,17%,36%,21%,36%,27%,34%,26%,34%,29%,30%,37%,25%,26%,31%,34%,29%,52%,12%,32%,22%,29%,26%,27%,7%,9%,16%,30%,13%,31%,30%,23%,28%,26%,29%,13%,22%,29%,13%,18%,12%,19%,14%,35%,35%,26%,19%,28%,28%,35%,34%,33%,36%,16%,25%,28%
